sede_id,sede_desc_ingles,pais_iso_3,sede_tipo,redes_sociales
EANGO,Embassy  in  Angola,AGO,Embajada,https://www.facebook.com/ArgentinaEnAngola/  //  https://www.instagram.com/embargentinaenangola/  // 
EEARB,Embassy  in  the  United  Arab  Emirates,ARE,Embajada,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos  //
EARME,Embassy  in  Armenia,ARM,Embajada,https://www.instagram.com/arginarmenia/  //  https://www.facebook.com/ArgentinaEnArmenia  //  https://twitter.com/ARGinArmenia  //
CSIDN,Consulate  General  in  Sydney,AUS,Consulado,https://www.facebook.com/ArgentinaEnSidney/  //
EAUST,Embassy  in  Australia,AUS,Embajada,https://www.facebook.com/ArgentinaEnAustralia/  //  https://twitter.com/ARGinAustralia  //
ETRIA,Embassy  in  Austria,AUT,Embajada,https://www.facebook.com/ArgentinaEnAustria/  //  https://twitter.com/ARGenViena  //  https://www.instagram.com/argenviena/  //
EAZER,Embassy  in  Azerbaijan,AZE,Embajada,https://www.facebook.com/EmbassyOfArgentina/  //  www.instagram.com/embargentinaaz  //  www.twitter.com/ARGEnAzer  //
EBELG,Embassy  in  Belgium,BEL,Embajada,https://www.facebook.com/ArgentinaEnBelgica/  //  https://www.instagram.com/argenbelgica/  //
ECEUR,Embassy  to  the  European  Union,BEL,Misión  Permanente,https://www.facebook.com/ARGanteUE  //  https://www.linkedin.com/company/arganteue  //  https://twitter.com/ARGanteUE  //  https://www.youtube.com/@ARGanteUE  //  https://www.flickr.com/people/197084220@N02/  //
EBANG,Embassy  in  Bangladesh,BGD,Embajada,
EBULG,Embassy  in  Bulgaria,BGR,Embajada,https://www.facebook.com/ArgentinaEnBulgaria/  //  https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow  //
CSCRS,Consulate  General  and  Promotion  Center  in  Santa  Cruz,BOL,Consulado  General  y  Centro  de  Promoción,www.instagram.com/consuladoargentinoscz  //  https://www.facebook.com/people/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Santa-Cruz-de-la-Sierra/100069410160459/?mibextid=ZbWKwL  //  
CGPAZ,Consulate  General  in  La  Paz,BOL,Consulado,
CTARI,Consulate  General  in  Tarija,BOL,Consulado,
CCOCH,Consulate  in  Cochabamba,BOL,Consulado,wwww.facebook.com/ArgentinaEnCochabamba  //
CVILL,Consulate  in  Villazon,BOL,Consulado,https://www.facebook.com/ArgEnVillazon  //
CYACU,Consulate  in  Yacuiba,BOL,Consulado,
EBOLV,Embassy  in  Bolivia,BOL,Embajada,https://twitter.com/embaargbolivia/  //  https://www.facebook.com/EmbajadaArgentinaBolivia/  //  https://www.instagram.com/embajada_argentina_en_bolivia/  //
CPABL,Consulate  General  and  Promotion  Center  in  Sao  Paolo,BRA,Consulado  General  y  Centro  de  Promoción,consuladoargentinosp@gmail.com  //
CALEG,Consulate  General  in  PORTO  ALEGRE,BRA,Consulado,https://twitter.com/ArgPortoAlegre  //  https://www.facebook.com/ArgentinaEnPortoAlegre/  //  https://www.instagram.com/argenportoalegre/  //
CRIOJ,Consulate  General  in  Rio  de  Janeiro,BRA,Consulado,https://www.facebook.com/ArgentinaEnRiodeJaneiro/  //
CBELO,Consulate  in  Belo  Horizonte,BRA,Consulado,https://www.facebook.com/ArgentinaEnBeloHorizonte/  //  https://twitter.com/consgralbelo  //  https://www.instagram.com/consgralbelo/  //
CCURI,Consulate  in  Curitiba,BRA,Consulado,https://www.facebook.com/ArgEnCuritiba/  //  https://instagram.com/argEncuritiba  //  https://twitter.com/ARGenCuri  //
CFLOR,Consulate  in  Florianopolis,BRA,Consulado,https://www.instagram.com/argenflorianopolis/  //  https://www.facebook.com/cflor.mrecic.gov.ar  //  
CFDIG,Consulate  in  Foz  do  Iguacu,BRA,Consulado,https://twitter.com/argentinaenfoz  //  https://www.facebook.com/ArgentinaEnFozDeIguazu  //  https://www.instagram.com/argentinaenfoz/  //
CRECI,Consulate  in  Recife,BRA,Consulado,https://www.facebook.com/ArgentinaEnBrasilRecife  //  https://www.instagram.com/consuladoargentinorecife  //
CSBAH,Consulate  in  Sao  Salvador  de  Bahia,BRA,Consulado,https://www.instagram.com/argentinaensalvador  //  https://www.facebook.com/ArgentinaenSalvador  //  https://twitter.com/ArgentinaEnSSA  //
CURUG,Consulate  in  Uruguayana,BRA,Consulado,https://www.facebook.com/ArgEnUruguayana/  //  https://twitter.com/CURUGoK  //
EBRAS,Embassy  in  Brazil,BRA,Embajada,https://www.instagram.com/embaargenbrasil  //  https://twitter.com/ArgentinaEnBras  //  https://www.facebook.com/embargbrasil  //
EBARB,Embassy  in  Barbados,BRB,Embajada,https://www.facebook.com/ArgentinaEnBarbados/  //
CMREA,Consulate  General  in  Montreal,CAN,Consulado,
